Country;Nobel price (2017);Population
Algeria;2;41318142
Argentina;5;44271041
Australia;12;24450561
Austria;21;8735453
Azerbaijan;1;9827589
Bangladesh;1;160995642
Belarus;2;9468338
Belgium;10;11429336
Bosnia and Herzegovina;2;3507017
Brazil;1;209288278
Bulgaria;1;7084571
Canada;23;36624199
Chile;2;18054726
China;9;1409517397
Colombia;2;49065615
Costa Rica;1;4905769
Croatia;1;4189353
Cyprus;1;1179551
Czech Republic;5;10618303
Denmark;13;5733551
East Timor;2;1296311
Egypt;4;97553151
Finland;5;5523231
France;68;64979548
Germany;107;82114224
Ghana;1;28833629
Greece;2;11159773
Guatemala;2;16913503
Hong Kong;1;7387914
Hungary;13;9721559
Iceland;1;335025
India;10;1339180127
Iran;1;81162788
Ireland;7;4761657
Israel;12;8321570
Italy;20;59359900
Japan;26;127484450
Kenya;1;49699862
Korea, South;1;50982212
Latvia;1;1949670
Liberia;2;4731906
Lithuania;1;2890297
Luxembourg;2;583455
Macedonia;1;2083160
Mexico;3;129163276
Morocco;1;34377511
Myanmar;1;53370609
Netherlands;20;17035938
New Zealand;3;4705818
Nigeria;1;190886311
Norway;13;5305383
Pakistan;2;197015955
Palestine;1;4920724
Peru;1;32165485
Poland;14;37948020
Portugal;2;10329506
Romania;4;19679306
Russia;23;143989754
Slovenia;1;2079976
South Africa;10;56717156
Spain;8;46354321
Sweden;30;9910701
Switzerland;26;8476005
Taiwan;1;23626456
Tibet;1;3195085
Trinidad and Tobago;1;1369125
Turkey;2;78665830
Ukraine;2;44222947
United Kingdom;128;66181585
United States;368;324459463
Venezuela;1;31977065
Vietnam;1;93447601
Yemen;1;28250420
